datum;title;shortpopis;longDescription;Link;jak_se_prihlasit_nazev;jak_se_prihlasit;prihlaseni_link;Registrace_do;firstDateName;firstDateFrom;firstDateTo;secondDateName;secondDateFrom;secondDateTo;thirdDateName;thirdDateFrom;thirdDateTo;fourthDateName;fourthDateFrom;fourthDateTo;fifthDateName;fifthDateFrom;fifthDateTo;exactLocation;NazevVysvetleni;Vysvetleni;yearBornMin;yearBornMax;classMin;classMax;Type;Příklad_úlohy_nazev;příklad_úlovy;email;telefon;Platba;Cena;prubeh_souteze;generalLocation;Subject;logoURL;Priprava;barva
27.12.2025;Biologická olympiáda kategorie A;Individuální soutěž ve znalostech v přirodopisu a biologie pořádaná po celé ČR.;Biologická olympiáda kategorie A je nejtěžší stupeň předmětové soutěže ve znalostech z přírodopisu a z biologie určená studentům dvou nejvyšších ročníků SŠ. Vychází z obsahu vzdělávacích oborů přírodopis a biologie v rámcových vzdělávacích programech. Biologická olympiáda je jednotná pro celé území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z biologie s dalšími studenty a třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které biologie baví.;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Jak se přihlásit;Přihlášení funguje skrze web https://olympiada.natur.cuni.cz/cs/prihlaseni/ do 7.2.2025;;7.2.2025;Školní kolo do;16.2.2025;;Krajské kolo;21.3.2025;;Ústřední kolo;22.4.2025;25.4.2025;;;;;;;První kolo by se mělo odehrávat na vašich školách.;;;;;12;13;Individuální;;;tereza.matejkova@natur.cuni.cz;;Zúčastnění je zdarma;"Výběr na ""Nalejvárnu"", kamarádi a možná i nějaký poukaz";Jednotlivá soutěžní kola jsou koncipována do dvou částí, teoretické a praktické. Teoretická část zahrnuje test všeobecných biologických vědomostí, teoretické úlohy a určování přírodnin. V praktické části řeší soutěžící laboratorní, případně terénní úlohy (ústřední kolo). V kategorii C a D zpracovávají soutěžící postupující do okresního kola vstupní úkol na dané téma. Úkolem soutěžících je samostatně vyřešit zadané úlohy ve stanoveném časovém limitu. Se zněním úloh se soutěžící seznamují bezprostředně před jejich vlastním řešením. Více na https://biologickaolympiada.czu.cz/cs/r-11829-co-je-bio/r-11840-soutezni-ulohy;Všude;Biologie;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Příkladné úlohy BiO neudává, ale poskytuje soutěžícím studijní materiály, ze kterých poté olympiáda vychází. Studijní materiály můžete najít na https://biologickaolympiada.czu.cz/cs/r-11832-dokumenty-a-informace/r-11904-aktualni-studijni-materialy;#6c9600
27.12.2025;Biologická olympiáda kategorie B;Individuální soutěž ve znalostech v přirodopisu a biologie pořádaná po celé ČR.;Biologická olympiáda kategorie B je druhá nejtěžší stupeň předmětové soutěže ve znalostech z přírodopisu a z biologie určená studentům 1. a 2. ročníku SŠ. Vychází z obsahu vzdělávacích oborů přírodopis a biologie v rámcových vzdělávacích programech. Biologická olympiáda je jednotná pro celé území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z biologie s dalšími studenty a třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které biologie baví.;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Jak se přihlásit;Přihlášení funguje skrze web https://olympiada.natur.cuni.cz/cs/prihlaseni/ do 7.2.2025;;7.2.2025;Školní kolo do;16.2.2025;;Krajské kolo;4.4.2025;;;;;;;;;;;První kolo by se mělo odehrávat na vašich školách.;;;;;10;11;Individuální;;;tereza.matejkova@natur.cuni.cz;;Zúčastnění je zdarma;"Výběr na ""Nalejvárnu"", kamarádi a možná i nějaký poukaz";Jednotlivá soutěžní kola jsou koncipována do dvou částí, teoretické a praktické. Teoretická část zahrnuje test všeobecných biologických vědomostí, teoretické úlohy a určování přírodnin. V praktické části řeší soutěžící laboratorní, případně terénní úlohy (ústřední kolo). V kategorii C a D zpracovávají soutěžící postupující do okresního kola vstupní úkol na dané téma. Úkolem soutěžících je samostatně vyřešit zadané úlohy ve stanoveném časovém limitu. Se zněním úloh se soutěžící seznamují bezprostředně před jejich vlastním řešením. Více na https://biologickaolympiada.czu.cz/cs/r-11829-co-je-bio/r-11840-soutezni-ulohy;Všude;Biologie;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Příkladné úlohy BiO neudává, ale poskytuje soutěžícím studijní materiály, ze kterých poté olympiáda vychází. Studijní materiály můžete najít na https://biologickaolympiada.czu.cz/cs/r-11832-dokumenty-a-informace/r-11904-aktualni-studijni-materialy;#6c9600
27.12.2025;Biologická olympiáda kategorie C;Individuální soutěž ve znalostech v přirodopisu a biologie pořádaná po celé ČR.;Biologická olympiáda kategorie C je třetí nejtěžší stupeň předmětové soutěže ve znalostech z přírodopisu a z biologie určená studentům 8. a 9. třídy. Vychází z obsahu vzdělávacích oborů přírodopis a biologie v rámcových vzdělávacích programech. Biologická olympiáda je jednotná pro celé území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z biologie s dalšími studenty a třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které biologie baví.;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Jak se přihlásit;Přihlášení funguje skrze web https://olympiada.natur.cuni.cz/cs/prihlaseni/ do 7.2.2025;;7.2.2025;Školní kolo do;7.2.2025;;Okresní kolo;17.3.2025;;Krajské kolo;28.5.2025;;;;;;;;První kolo by se mělo odehrávat na vašich školách.;;;;;8;9;Individuální;;;tereza.matejkova@natur.cuni.cz;;Zúčastnění je zdarma;"Výběr na ""Nalejvárnu"", kamarádi a možná i nějaký poukaz";Jednotlivá soutěžní kola jsou koncipována do dvou částí, teoretické a praktické. Teoretická část zahrnuje test všeobecných biologických vědomostí, teoretické úlohy a určování přírodnin. V praktické části řeší soutěžící laboratorní, případně terénní úlohy (ústřední kolo). V kategorii C a D zpracovávají soutěžící postupující do okresního kola vstupní úkol na dané téma. Úkolem soutěžících je samostatně vyřešit zadané úlohy ve stanoveném časovém limitu. Se zněním úloh se soutěžící seznamují bezprostředně před jejich vlastním řešením. Více na https://biologickaolympiada.czu.cz/cs/r-11829-co-je-bio/r-11840-soutezni-ulohy;Všude;Biologie;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Příkladné úlohy BiO neudává, ale poskytuje soutěžícím studijní materiály, ze kterých poté olympiáda vychází. Studijní materiály můžete najít na https://biologickaolympiada.czu.cz/cs/r-11832-dokumenty-a-informace/r-11904-aktualni-studijni-materialy;#6c9600
27.12.2025;Biologická olympiáda kategorie D;Individuální soutěž ve znalostech v přirodopisu a biologie pořádaná po celé ČR.;Biologická olympiáda kategorie D je třetí nejtěžší stupeň předmětové soutěže ve znalostech z přírodopisu a z biologie určená studentům 6. a 7. třídy. Vychází z obsahu vzdělávacích oborů přírodopis a biologie v rámcových vzdělávacích programech. Biologická olympiáda je jednotná pro celé území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z biologie s dalšími studenty a třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které biologie baví.;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Jak se přihlásit;Přihlášení funguje skrze web https://olympiada.natur.cuni.cz/cs/prihlaseni/ do 7.2.2025;;7.2.2025;Školní kolo do;7.2.2025;;Okresní kolo;10.4.2025;;Krajské kolo;16.5.2025;;;;;;;;První kolo by se mělo odehrávat na vašich školách.;;;;;6;7;Individuální;;;tereza.matejkova@natur.cuni.cz;;Zúčastnění je zdarma;"Výběr na ""Nalejvárnu"", kamarádi a možná i nějaký poukaz";Jednotlivá soutěžní kola jsou koncipována do dvou částí, teoretické a praktické. Teoretická část zahrnuje test všeobecných biologických vědomostí, teoretické úlohy a určování přírodnin. V praktické části řeší soutěžící laboratorní, případně terénní úlohy (ústřední kolo). V kategorii C a D zpracovávají soutěžící postupující do okresního kola vstupní úkol na dané téma. Úkolem soutěžících je samostatně vyřešit zadané úlohy ve stanoveném časovém limitu. Se zněním úloh se soutěžící seznamují bezprostředně před jejich vlastním řešením. Více na https://biologickaolympiada.czu.cz/cs/r-11829-co-je-bio/r-11840-soutezni-ulohy;Všude;Biologie;https://natur.cuni.cz/biologie/pravidelne-akce/biologicka-olympiada/aktualni-59-rocnik;Příkladné úlohy BiO neudává, ale poskytuje soutěžícím studijní materiály, ze kterých poté olympiáda vychází. Studijní materiály můžete najít na https://biologickaolympiada.czu.cz/cs/r-11832-dokumenty-a-informace/r-11904-aktualni-studijni-materialy;#6c9600
2025.1.3.;Fyzikální olympiáda - kategorie A;Individuální soutěž ve znalostech v fyziky pořádané po celé ČŘ.;Fyzikální olympiáda kategorie A je nejtěžší stupeň předmětové soutěže z Fyziky určená studentům nejvyššího ročníku SŠ. Fyzikální olympiáda je jednotná pro celém území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z fyzika s dalšími studenty, třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které fyzika baví.;http://fyzikalniolympiada.cz/;Jak se přihlásit;Soutěžící ve středoškolských kategoriích se přihlašují prostřednictvím Osmo. Prosíme, abyste si v Osmo založili účet, pokud ho již nemáte z loňského roku. Poté se přihlaste do správné kategorie. Každý řešitel se může zúčastnit i kategorie vyšší, než mu odpovídá, pokud se na to cítí. Věnujte pozornost, abyste správně vybrali svoji školu. Vypracované úlohy odevzdávejte svému učiteli ve škole.;https://osmo.fyzikalniolympiada.cz/acct/login;;Školní kolo do;20.12.2024;;Krajské kolo;24.1. 2025;;Ústřední kolo;4;7. března 2025;Výběrové minisoustředění s testy;duben 2025;;Přípravné soustředění před MFO;červen 2025;;Na vaší škole;;;;;13;;Individuální;Studijní texty najdete zde;http://fyzikalniolympiada.cz/studijni-texty;;;Zůčastnění je zdarma.;Výběr na fyzikální soustředění.;Řešení pište úhledně a čitelně na listy formátu A4. Každou úlohu vypracujte na samostatný papír, pomocné obrázky a náčrty zhotovte tužkou. Jestliže používáte kalkulačku, nezapomeňte na správné zaokrouhlení výsledků. Texty úloh neopisujte, napište jen text řešení a udělejte legendu označení. Na každý další list napište svoje jméno, příjmení, školu, číslo úlohy a číslo strany řešení.;Všude;Fyzika;http://localhost:8000/Photos/fyzikalni_olympiada.svg;Během každého ročníku vychází sada studijních textů, která rozšiřuje znalosti studentů ve zvoleném studijním tématu nad rámec středoškolského učiva. Pro každou kategorii A–D je určen jeden studijní text, jejichž přehled uvádíme níže. Ke zvolenému tématu se vždy váže jedna úloha ve školním, krajském i (v kategorii A) ústředním kole. Během řešení školního kola doporučujeme studentům tyto texty prostudovat a vyřešit úlohy v nich uvedené. Pomohou jim nejen při řešení zmíněných úloh FO, ale jsou rovněž jsou velice dobrým studijním materiálem.;#6c9600
2025.1.3.;Fyzikální olympiáda - kategorie B, C, D;Individuální soutěž ve znalostech v fyziky pořádané po celé ČŘ.;Fyzikální olympiáda kategorie B a C jsou katgorie pro 1.-3. ročník SŠ. Fyzikální olympiáda je jednotná pro celém území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z fyzika s dalšími studenty, třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které fyzika baví.;http://fyzikalniolympiada.cz/;Jak se přihlásit;Soutěžící ve středoškolských kategoriích se přihlašují prostřednictvím Osmo. Prosíme, abyste si v Osmo založili účet, pokud ho již nemáte z loňského roku. Poté se přihlaste do správné kategorie. Každý řešitel se může zúčastnit i kategorie vyšší, než mu odpovídá, pokud se na to cítí. Věnujte pozornost, abyste správně vybrali svoji školu. Vypracované úlohy odevzdávejte svému učiteli ve škole.;https://osmo.fyzikalniolympiada.cz/acct/login;;Školní kolo do;28. 3. 2025;;Krajské kolo;23. 4. 2025;;Celostátní soustředění v kategoriích B a C;září 2025;;;;;;;;Na vaší škole;;;;;10;12;Individuální;Studijní texty najdete zde;http://fyzikalniolympiada.cz/studijni-texty;;;Zůčastnění je zdarma.;Výběr na fyzikální soustředění.;;Všude;Fyzika;http://localhost:8000/Photos/fyzikalni_olympiada.svg;Během každého ročníku vychází sada studijních textů, která rozšiřuje znalosti studentů ve zvoleném studijním tématu nad rámec středoškolského učiva. Pro každou kategorii A–D je určen jeden studijní text, jejichž přehled uvádíme níže. Ke zvolenému tématu se vždy váže jedna úloha ve školním, krajském i (v kategorii A) ústředním kole. Během řešení školního kola doporučujeme studentům tyto texty prostudovat a vyřešit úlohy v nich uvedené. Pomohou jim nejen při řešení zmíněných úloh FO, ale jsou rovněž jsou velice dobrým studijním materiálem.;#6c9600
2025.1.3.;Fyzikální olympiáda - kategorie E, F;Individuální soutěž ve znalostech v fyziky pořádané po celé ČŘ.;Fyzikální olympiáda kategorie E a F je předmětová soutěž z fyziky určená pro 8. a 9 třídu základní školy. Fyzikální olympiáda je jednotná pro celém území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z fyzika s dalšími studenty, třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které fyzika baví.;http://fyzikalniolympiada.cz/;Jak se přihlásit;Soutěžící ve středoškolských kategoriích se přihlašují prostřednictvím Osmo. Prosíme, abyste si v Osmo založili účet, pokud ho již nemáte z loňského roku. Poté se přihlaste do správné kategorie. Každý řešitel se může zúčastnit i kategorie vyšší, než mu odpovídá, pokud se na to cítí. Věnujte pozornost, abyste správně vybrali svoji školu. Vypracované úlohy odevzdávejte svému učiteli ve škole.;https://osmo.fyzikalniolympiada.cz/acct/login;;Školní kolo do;21. 2. 2025;;Okresní kolo;19. 3. 2025;;Krajské kolo E;9. dubna 2025;;;;;;;;Na vaší škole;;;;;8;9;Individuální;Studijní texty najdete zde;http://fyzikalniolympiada.cz/studijni-texty;;;Zůčastnění je zdarma.;Výběr na fyzikální soustředění.;;Všude;Fyzika;http://localhost:8000/Photos/fyzikalni_olympiada.svg;Během každého ročníku vychází sada studijních textů, která rozšiřuje znalosti studentů ve zvoleném studijním tématu nad rámec středoškolského učiva. Pro každou kategorii A–D je určen jeden studijní text, jejichž přehled uvádíme níže. Ke zvolenému tématu se vždy váže jedna úloha ve školním, krajském i (v kategorii A) ústředním kole. Během řešení školního kola doporučujeme studentům tyto texty prostudovat a vyřešit úlohy v nich uvedené. Pomohou jim nejen při řešení zmíněných úloh FO, ale jsou rovněž jsou velice dobrým studijním materiálem.;#6c9600
2025.1.3.;Fyzikální olympiáda - kategorie G;Individuální soutěž ve znalostech v fyziky pořádané po celé ČŘ.;Fyzikální olympiáda kategorie G je nejnižší stupeň předmětové soutěže z Fyziky určená studentům sedmé třídy. Fyzikální olympiáda je jednotná pro celém území České republiky a pořádá se každoročně. Je to skvělá příležitost porovnat své znalosti z fyzika s dalšími studenty, třeba dostat nějaké poukazy do luxoru, získát něco dobrého do vašeho CV a hlavně potkat další studenty, které fyzika baví.;http://fyzikalniolympiada.cz/;Jak se přihlásit;Soutěžící ve středoškolských kategoriích se přihlašují prostřednictvím Osmo. Prosíme, abyste si v Osmo založili účet, pokud ho již nemáte z loňského roku. Poté se přihlaste do správné kategorie. Každý řešitel se může zúčastnit i kategorie vyšší, než mu odpovídá, pokud se na to cítí. Věnujte pozornost, abyste správně vybrali svoji školu. Vypracované úlohy odevzdávejte svému učiteli ve škole.;https://osmo.fyzikalniolympiada.cz/acct/login;;Školní kolo do;31. 3. 2025;;Okresní kolo;7.4.;31. 5. 2025 - přesné datum určují OKFO;;;;;;;;;;Na vaší škole;;;;;7;;Individuální;Studijní texty najdete zde;http://fyzikalniolympiada.cz/studijni-texty;;;Zůčastnění je zdarma.;Výběr na fyzikální soustředění.;;Všude;Fyzika;http://localhost:8000/Photos/fyzikalni_olympiada.svg;Během každého ročníku vychází sada studijních textů, která rozšiřuje znalosti studentů ve zvoleném studijním tématu nad rámec středoškolského učiva. Pro každou kategorii A–D je určen jeden studijní text, jejichž přehled uvádíme níže. Ke zvolenému tématu se vždy váže jedna úloha ve školním, krajském i (v kategorii A) ústředním kole. Během řešení školního kola doporučujeme studentům tyto texty prostudovat a vyřešit úlohy v nich uvedené. Pomohou jim nejen při řešení zmíněných úloh FO, ale jsou rovněž jsou velice dobrým studijním materiálem.;#6c9600
2025.1.3.;Přírodovědný klokan - Kadet;Přírodovědný klokan - Kadet je soutěž určená pro žáky 8. a 9. tříd základních škol.;Přírodovědný klokan - Kadet je soutěž určená pro žáky 8. a 9. tříd základních škol, která se zaměřuje na vědomosti v oblasti přírodopisu.;https://kag.upol.cz/prirodovednyklokan/info.html;Jak se přihlásit;Musíte se říct učiteli na přírodopisný předmět na vaší škole.;;;Soutěž se uskuteční;15. října 2025;;;;;;;;;;;;;;Na vaší škole;;;;;8;9;Individuální;Organizační pokyny;https://kag.upol.cz/prirodovednyklokan/info_pravidla.pdf;;;Zůčastnění je zdarma;;Průběh soutěže je obdobný jako u v ČR dobře známého a zavedeného Matematického klokana. Soutěžní kategorie jsou dvě, a sice Kadet (8.-9. třída ZŠ) a Junior (I.-II. ročník SŠ). V každé kategorii je zadán soutěžícím jednorázový test, který obsahuje 24 úloh, přičemž ti pak vybírají jednu správnou odpověď z pěti nabízených možností. Na řešení mají 40 minut čistého času. Distribuce testů a jejich následné vyhodnocení prochází sítí krajských a okresních důvěrníků. Celkové vyhodnocení a zpracování statistik za celou Českou republiku se provádí v centru v Olomouci. Nejúspěšnější řešitelé v každé kategorii jsou odměněni věcnou cenou.;Všude;Přírodověda;http://localhost:8000/Photos/prirodovedny_klokan.svg;https://kag.upol.cz/prirodovednyklokan/sbornik_2023_24.pdf;#FF9100
2025.1.3.;Přírodovědný klokan - Junior;Přírodovědný klokan - Junior je soutěž určená pro žáky 1. a 2. ročník středních škol.;Přírodovědný klokan - Junior je soutěž určená pro žáky 1. a 2. ročník středních škol, která se zaměřuje na vědomosti v oblasti přírodopisu.;https://kag.upol.cz/prirodovednyklokan/info.html;Jak se přihlásit;Musíte se říct učiteli na přírodopisný předmět na vaší škole.;;;Soutěž se uskuteční;15. října 2025;;;;;;;;;;;;;;Na vaší škole;;;;;10;11;Individuální;Organizační pokyny;https://kag.upol.cz/prirodovednyklokan/info_pravidla.pdf;;;Zůčastnění je zdarma;;Průběh soutěže je obdobný jako u v ČR dobře známého a zavedeného Matematického klokana. Soutěžní kategorie jsou dvě, a sice Kadet (8.-9. třída ZŠ) a Junior (I.-II. ročník SŠ). V každé kategorii je zadán soutěžícím jednorázový test, který obsahuje 24 úloh, přičemž ti pak vybírají jednu správnou odpověď z pěti nabízených možností. Na řešení mají 40 minut čistého času. Distribuce testů a jejich následné vyhodnocení prochází sítí krajských a okresních důvěrníků. Celkové vyhodnocení a zpracování statistik za celou Českou republiku se provádí v centru v Olomouci. Nejúspěšnější řešitelé v každé kategorii jsou odměněni věcnou cenou.;Všude;Přírodověda;http://localhost:8000/Photos/prirodovedny_klokan.svg;https://kag.upol.cz/prirodovednyklokan/sbornik_2023_24.pdf;#FF9100
